date,rainfall_mm,avg_temperature_c,avg_humidity,sensor_count
2026-01-01,834.854,28.09659863945578,62.79545454545455,36
2026-01-02,1175.706,28.04646464646465,64.85245901639344,41
2026-01-03,1191.748,24.88050314465409,58.64150943396226,35
2026-01-04,864.208,29.316425120772948,65.36538461538461,36
2026-01-05,1108.162,28.644444444444446,59.924528301886795,31
2026-01-06,1065.956,27.014285714285716,62.44642857142857,38
2026-01-07,1065.01,27.46803118908382,59.377049180327866,38
2026-01-08,764.126,27.525555555555552,69.88095238095238,34
2026-01-09,860.928,28.351416122004355,59.30769230769231,32
2026-01-10,905.384,29.31725768321513,59.82608695652174,29
2026-01-11,1097.23,25.654700854700856,62.74545454545454,35
2026-01-12,894.766,25.99142857142857,58.270270270270274,28
2026-01-13,1117.194,27.659259259259258,59.91304347826087,31
2026-01-14,829.6419999999999,26.324537037037036,59.97674418604651,34
2026-01-15,682.812,27.152083333333334,66.16666666666667,35
2026-01-16,1017.002,28.841950113378683,61.470588235294116,33
2026-01-17,1164.032,29.876832151300235,63.716981132075475,32
2026-01-18,795.1759999999999,28.576543209876544,69.125,23
2026-01-19,1385.686,26.742265795206972,56.339622641509436,32
2026-01-20,820.004,29.206280193236715,62.13725490196079,33
2026-01-21,1117.748,25.630232558139532,61.55813953488372,32
2026-01-22,817.138,27.99249249249249,63.891891891891895,29
2026-01-23,828.256,26.485714285714284,59.588235294117645,24
2026-01-24,1415.34,25.285534591194967,63.46,34
2026-01-25,1019.204,28.82866344605475,59.80597014925373,40
2026-01-26,1268.624,27.51156462585034,64.15094339622641,35
2026-01-27,718.768,26.765608465608466,62.775510204081634,33
2026-01-28,1020.082,28.453968253968252,64.51063829787235,27
2026-01-29,1162.802,28.225694444444443,63.04347826086956,33
2026-01-30,1313.856,28.776190476190475,60.391304347826086,33
2026-01-31,1138.212,26.36772486772487,65.90163934426229,37
2026-02-01,1330.96,27.184197530864196,61.19607843137255,33
2026-02-02,1089.014,27.25534188034188,65.53061224489795,33
2026-02-03,829.296,27.709302325581394,59.129629629629626,32
2026-02-04,940.886,28.673333333333332,63.97727272727273,32
2026-02-05,1146.478,28.651333333333334,64.75862068965517,36
2026-02-06,885.99,27.021481481481484,61.193548387096776,25
2026-02-07,936.4699999999999,27.76311111111111,59.22222222222222,34
2026-02-08,1142.68,28.41157407407407,59.24528301886792,35
2026-02-09,917.478,26.59920634920635,57.795918367346935,30
2026-02-10,918.866,26.87936507936508,67.26086956521739,31
2026-02-11,843.208,29.049652777777776,64.78378378378379,26
2026-02-12,1113.676,27.106763285024154,64.81481481481481,30
2026-02-13,798.144,27.32883597883598,57.390243902439025,30
2026-02-14,1085.81,27.06241134751773,63.11764705882353,35
2026-02-15,1173.118,26.36246913580247,61.270833333333336,30
2026-02-16,665.668,27.67394636015326,62.64705882352941,25
2026-02-17,793.99,28.06086956521739,62.54545454545455,33
2026-02-18,985.954,26.258974358974356,64.76923076923077,33
2026-02-19,1087.744,26.24266666666667,63.241379310344826,36
2026-02-20,890.76,25.17517730496454,65.1304347826087,32
2026-02-21,1106.782,28.379138321995466,64.84905660377359,33
2026-02-22,1069.81,25.984299516908212,70.41666666666667,35
2026-02-23,902.574,27.632727272727273,62.31372549019608,37
2026-02-24,1113.81,27.945656565656567,67.69090909090909,36
2026-02-25,701.804,29.203174603174602,65.72727272727273,35
2026-02-26,1192.192,27.950444444444443,62.0188679245283,33
2026-02-27,1367.802,25.682,65.98245614035088,37
2026-02-28,1258.262,26.07231968810916,60.516666666666666,34
2026-03-01,1120.862,28.09337606837607,59.91379310344828,34
2026-03-02,1344.66,27.26274509803922,63.442622950819676,37
2026-03-03,972.29,28.26031746031746,60.26,34
2026-03-04,882.432,25.232151300236406,57.450980392156865,32
2026-03-05,1382.762,27.383434343434345,65.31666666666666,38
2026-03-06,602.912,27.75762273901809,60.0,31
2026-03-07,1126.806,27.0337037037037,60.4,36
2026-03-08,1012.1519999999999,26.544691358024693,62.08510638297872,35
2026-03-09,907.36,27.9780701754386,58.31818181818182,33
2026-03-10,870.5260000000001,26.97018970189702,63.833333333333336,35
2026-03-11,1215.634,28.41360544217687,61.892857142857146,39
2026-03-12,1043.844,26.30222222222222,59.91836734693877,30
2026-03-13,711.606,28.986666666666668,60.23913043478261,27
2026-03-14,968.206,27.883154121863797,62.22857142857143,29
2026-03-15,852.616,24.471459694989107,64.33333333333333,37
2026-03-16,730.086,27.11243386243386,61.348837209302324,32
2026-03-17,1050.608,27.239869281045753,61.23529411764706,35
2026-03-18,972.938,26.444973544973543,67.20454545454545,33
2026-03-19,1045.208,27.720330969267142,64.3529411764706,33
2026-03-20,1031.142,28.215099715099715,58.645833333333336,36
2026-03-21,562.166,30.64148148148148,56.65714285714286,27
2026-03-22,1036.554,27.74823848238482,64.19565217391305,34
2026-03-23,771.1999999999999,27.23975308641975,64.5,34
2026-03-24,1117.444,27.122666666666667,62.22222222222222,36
2026-03-25,1239.82,27.355555555555558,62.45454545454545,35
2026-03-26,928.24,28.155050505050507,60.5531914893617,32
2026-03-27,1265.472,27.2390873015873,63.49090909090909,38
2026-03-28,1222.918,27.648000000000003,65.14285714285714,38
2026-03-29,1046.694,28.06690307328605,66.09615384615384,33
2026-03-30,940.626,26.721913580246916,66.14285714285714,31
2026-03-31,1043.634,30.14375,57.1875,36
2026-04-01,767.552,26.19154589371981,59.91836734693877,33
2026-04-02,955.3919999999999,26.692328042328043,66.05882352941177,32
2026-04-03,1107.324,27.788444444444444,65.56140350877193,34
2026-04-04,872.822,28.21224489795918,61.43396226415094,35
2026-04-05,1138.97,29.014739229024944,62.14,35
2026-04-06,771.7099999999999,26.76068376068376,67.04651162790698,29
2026-04-07,1142.248,25.744444444444444,63.3448275862069,39
2026-04-08,1184.914,27.753333333333334,62.425925925925924,33
2026-04-09,1039.86,26.13266666666667,66.48148148148148,32
2026-04-10,1126.384,26.936643026004727,66.02173913043478,31
2026-04-11,1067.808,26.10363247863248,63.11538461538461,33
2026-04-12,863.118,28.93421052631579,65.325,30
